0	Pound		0	0	35	40	1
1	Karate_Chop	1	0	25	50	1
2	Double_Slap	0	0	10	15	0.85
3	Comet_Punch	0	0	15	18	0.85
4	Mega_Punch	0	0	20	80	0.85
5	Pay_Day		0	0	20	40	1
6	Fire_Punch	9	0	15	75	1
7	Ice_Punch	14	0	15	75	1
8	Thunder_Punch	12	0	15	75	1
9	Scratch		0	0	35	40	1
10	Vice_Grip	0	0	30	55	1
11	Guillotine	0	0	5	-1	-1
12	Razor_Wind	0	1	10	80	1
13	Swords_Dance	0	2	20	-1	-1
14	Cut		0	0	30	50	0.95
15	Gust		2	1	35	40	1
16	Wing_Attack	2	0	35	60	1
17	Whirlwind	0	2	20	-1	-1
18	Fly		2	0	15	90	0.95
19	Bind		0	0	20	15	0.85
20	Slam		0	0	20	80	0.75
21	Vine_Whip	11	0	25	45	1
22	Stomp		0	0	20	65	1
23	Double_Kick	1	0	30	30	1
24	Mega_Kick	0	0	5	120	0.75
25	Jump_Kick	1	0	10	100	0.95
26	Rolling_Kick	1	0	15	60	0.85
27	Sand_Attack	4	2	15	-1	1
28	Headbutt	0	0	15	70	1
29	Horn_Attack	0	0	25	65	1
30	Fury_Attack	0	0	20	15	0.85
31	Horn_Drill	0	0	5	-1	-1
32	Tackle		0	0	35	50	1
33	Body_Slam	0	0	15	85	1
34	Wrap		0	0	20	15	0.9
35	Take_Down	0	0	20	90	0.85
36	Thrash		0	0	10	120	1
37	Double-Edge	0	0	15	120	1
38	Tail_Whip	0	2	30	-1	1
39	Poison_Sting	3	0	35	15	1
40	Twineedle	6	0	20	25	1
41	Pin_Missle	6	0	20	25	0.95
42	Leer		0	2	30	-1	1
43	Bite		16	0	25	60	1
44	Growl		0	2	40	-1	1
45	Roar		0	2	20	-1	-1
46	Sing		0	2	15	-1	0.55
47	Supersonic	0	2	20	-1	0.55
48	Sonic_Boom	0	1	20	-1	0.9
49	Disable		0	2	20	-1	1
50	Acid		3	1	30	40	1	
51	Ember		9	1	25	40	1
52	Flamethrower	9	1	15	90	1
53	Mist		14	2	30	-1	-1
54	Water_Gun	10	1	25	40	1
55	Hydro_Pump	10	1	5	110	0.8
56	Surf		10	1	15	90	1
57	Ice_Beam	14	1	10	90	1
58	Blizzard	14	1	5	110	0.7
59	Psybeam		13	1	20	65	1
