0   Bulbasaur   11      3       1       16  4   4   4   6   6   4   0.875   45  64
1   Ivysaur     11      3       2       32  6   6   6   8   8   6   0.875   45  142
2   Venusaur    11      3       -1      -1  8   8   8   10  10  8   0.875   45  236
3   Charmander  9       -1      4       16  3   5   4   6   5   6   0.875   45  62
4   Charmeleon  9       -1      5       32  5   6   5   8   6   8   0.875   45  142
5   Charizard   9       2       -1      -1  7   8   7   10  8   10  0.875   45  240
6   Squirtle    10      -1      7       16  4   4   6   5   6   4   0.875   45  63
7   Warturtle   10      -1      8       32  5   6   8   6   8   5   0.875   45  142
8   Blastoise   10      -1      -1      -1  7   8   10  8   10  7   0.875   45  239
9   Caterpie    6       -1      10      7   4   3   3   2   2   4   0.5     255 39
10  Metapod     6       -1      11      10  5   2   5   2   2   3   0.5     120 72
11  Butterfree  6       2       -1      -1  6   4   5   9   8   7   0.5     45  173
12  Weedle      6       3       13      7   4   3   3   2   2   5   0.5     255 39
13  Kakuna      6       3       14      10  4   2   5   2   2   3   0.5     120 72
14  Beedrill    6       3       -1      -1  6   9   4   4   8   7   0.5     45  173
15  Pidgey      0       2       16      18  4   4   4   3   3   5   0.5     255 50
16  Pidgeotto   0       2       17      36  6   6   5   5   5   7   0.5     120 122
17  Pidgeot     0       2       -1      -1  8   8   7   7   7   10  0.5     45  211
18  Rattata     0       -1      19      20  6   5   3   2   3   7   0.5     255 51
19  Raticate    0       -1      -1      -1  5   8   6   5   7   9   0.5     127 145
20  Spearow     0       2       21      20  4   6   3   3   3   7   0.5     255 52
21  Fearow      0       2       -1      -1  6   9   6   6   6   10  0.5     90  155
22  Ekans       3       -1      23      22  3   6   4   4   5   5   0.5     255 58
23  Arbok       3       -1      -1      -1  6   8   6   6   7   8   0.5     90  153
24  Pikachu     13      -1      25      -2  3   5   4   5   5   9   0.5     190 105
25  Raichu      13      -1      -1      -1  6   9   5   9   8   11  0.5     75  218
26  Sandshrew   4       -1      26      22  5   7   8   2   3   4   0.5     255 60
27  Sandslash   4       -1      -1      -1  7   10  11  4   5   6   0.5     90  158
28  Nidoran(f)  3       -1      29      16  5   4   5   4   4   4   0       235 55
29  Nidorina    3       -1      30      -3  7   6   6   5   5   5   0       120 128
30  Nidoqueen   3       4       -1      -1  9   9   8   7   8   7   0       45  223
31  Nidoran(m)  3       -1      32      16  4   5   4   4   4   5   1       235 55
32  Nidorino    3       -1      33      -3  6   7   5   5   5   6   1       120 128
33  Nidoking    3       4       -1      -1  8   10  7   8   7   8   1       45  223
34  Clefairy    17      -1      35      -3  7   4   4   6   6   3   0.25    150 113
35  Clefable    17      -1      -1      -1  9   7   7   9   9   6   0.25    25  213
36  Vulpix      9       -1      37      -4  3   4   4   5   6   6   0.25    190 60
37  Ninetales   9       -1      -1      -1  7   7   7   8   10  10  0.25    75  117
38  Jigglypuff  0       17      39      -3  11  4   2   4   2   2   0.25    170 95
39  Wigglytuff  0       17      -1      -1  14  7   4   8   5   4   0.25    50  191
40  Zubat       3       2       41      22  4   4   3   3   4   5   0.5     255 49
41  Golbat      3       2       -1      -1  7   8   7   6   7   9   0.5     90  159
42  Oddish      11      3       43      21  4   5   5   7   6   3   0.5     255 64
43  Gloom       11      3       44      -5  6   6   7   8   7   4   0.5     120 138
44  Vileplume   11      3       -1      -1  7   8   8   11  9   5   0.5     45  216
45  Paras       6       11      46      24  3   7   5   4   5   2   0.5     190 57
